city,deliveryTime,foodType,price,restaurantName
ahmedabad,23 MINS,Indian,₹250 FOR TWO,Anjoy Late Night Meals
ahmedabad,25 MINS,North Indian,₹650 FOR TWO,Jassi De Parathe
ajmer,28 MINS,"North Indian, Desserts",₹200 FOR TWO,Shree Jodhpur Sweets
ajmer,35 MINS,North Indian,₹200 FOR TWO,Swad Restaurant
ajmer,49 MINS,North Indian,₹300 FOR TWO,Manoj Kake Di Hatti - station raod
ajmer,34 MINS,"North Indian, Mughlai",₹300 FOR TWO,Dua's Tandoori Junction
achalpur,-- MINS,North Indian,₹300 FOR TWO,Flavours of North Indian
achalpur,-- MINS,Bakery,₹200 FOR TWO,sagar cake corner
achalpur,-- MINS,"Fast Food, North Indian, Chinese",₹150 FOR TWO,Dilli Darbar
agra,38 MINS,North Indian,₹200 FOR TWO,Desi Masala
agra,28 MINS,"Chinese, South Indian, North Indian, Continental",₹400 FOR TWO,Pankhuri Restaurant
agra,38 MINS,South Indian,₹300 FOR TWO,Tirupati's Dosa Factory
agra,30 MINS,North Indian,₹600 FOR TWO,Labbaik Chicken Corner
agra,33 MINS,"Chinese, Fast Food, North Indian, Mughlai, Street Food",₹200 FOR TWO,Mama Chicken Mama Franky House
agartala,39 MINS,North Indian,₹300 FOR TWO,Heritage
agartala,31 MINS,Indian,₹125 FOR TWO,Mrs. Banyan Resturant
agartala,30 MINS,"Indian, Chinese, Continental, Snacks",₹200 FOR TWO,TryMe
agartala,37 MINS,"Fast Food, North Indian",₹300 FOR TWO,The Fat Chicken
agartala,29 MINS,North Indian,₹175 FOR TWO,Shyamasree Restaurant
ahmedabad,28 MINS,"North Indian, Gujarati, Indian, Desserts",₹500 FOR TWO,Khichdi Etc
ahmedabad,36 MINS,"American, Fast Food, Snacks",₹400 FOR TWO,KFC
ahmedabad,35 MINS,"Desserts, Fast Food",₹600 FOR TWO,Cake Eggless
ahmedabad,24 MINS,"Sweets, Fast Food, Snacks",₹250 FOR TWO,Gwalia Sweets & Fast Food
allahabad,29 MINS,"Desserts, Ice Cream",₹300 FOR TWO,Kwality Walls Frozen Dessert & Ice Cream Shop
achalpur,-- MINS,Fast Food,₹100 FOR TWO,Rasoi
achalpur,-- MINS,"Maharashtrian, North Indian, Chinese",₹300 FOR TWO,Sanjay Bhojnalya
achalpur,-- MINS,North Indian,₹350 FOR TWO,Damodar Bhojnalya
agra,37 MINS,North Indian,₹300 FOR TWO,Amritsari Kulcha junction
agra,38 MINS,Desserts,₹200 FOR TWO,FNP Cakes n More
agra,32 MINS,"Street Food, Indian, Chinese",₹100 FOR TWO,Radha rani food corner
