jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Forklift Operator 1st and 2nd shift,Eaton Technologies Private Limited,US,1-2years,Not Specified,"If your passion is working in a dynamic, fast-paced manufacturing environment then joining our team is the right job for you. Daily you will be expected to safely and successfully move finished product from the production line to its proper warehouse",Forklift|manufacturingShareJobLinkonSocialMedia|
Maintenance Technician - 2nd Shift,Eaton Technologies Private Limited,India|US,1-4years,Not Specified,"Eaton’s Vehicle division is currently seeking a Maintenance Technician to join our second shift team. This position is based at our Kearney, NE facility and will require candidates outside this area to relocate. Relocation benefits are provided for c",
Machine Operator - 2nd Shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Aerospace Group is currently seeking a Machine Operator to join our team. This position is based at our Beltsville, MD facility.Making what matters work at Eaton takes the passion of every employee around the world. We create an environment",
Shipper/Receiver (1st Shift),Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"To Eaton’s Electrical Power Quality Division is currently seeking a Shipper/Receiver to join our first shift team. This position is based at our Raleigh, NC facility.Position Overview:The Shipper/Receiver provide manufacturing expertise and support",
Assembler & Tester - 2nd Shift,Eaton Technologies Private Limited,India|US,2-5years,Not Specified,"Eaton’s Aerospace division is seeking an Assembler and Tester-B, 2nd shift to join our team. The position is based at our Los Angeles, CA (near Glendale metro) facility. The LA facility has approximately 250 employees and is a leader in the design, d",
Material Handler- 1st shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Sector is currently seeking a Material Handler 1st shift to join our team. This position is based at our Duncan, SC facility.Position OverviewMove material throughout the distribution center via receiving, re-stocking, picking, p",
Machine Operator - 2nd Shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Power Systems division is currently seeking a Coil Winding Machine Operator – 2nd Shift, pay starting at $20.00/hour, depending on coil winding experience. This position is based at our North Street Facility in Waukesha, WI.The Co",
Production Supervisor 1st Shift,Eaton Technologies Private Limited,India|US,2-5years,Not Specified,"Eaton’s Hydraulics Business is currently seeking a Production Supervisor for 1st Shift to join our team. This position is based at our White City, OR facility.Position Overview:The Production Supervisor will be responsible for maintaining performan",
Assembler - 1st Shift (Dept 08),Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Power Reliability Division is currently seeking an Assembler – 1st Shift to join our team. This position is based at our South Milwaukee, WI facility.The Assembler is responsible for performing a variety of assembly and sub assemb",
General Welder - Transformers - 2nd Shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Power Systems division is currently seeking a General Welder – Transformers Assembly Line – 2nd Shift to join our team, pay starting at $20.00/hour, depending on experience. This position is based at our Badger Drive facility in Wa",
Material Handler I - 2nd Shift Weld,Eaton Technologies Private Limited,India|US,1-4years,Not Specified,"Eaton’s Electrical division is currently seeking a Material Handler I to join our second shift team. This position is based at our Cleveland, TN facility.Making what matters work at Eaton takes the passion of every employee around the world. We cre",
Assembler - 2nd Shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Power Distribution Inc. is currently seeking Assemblers to join our second shift team. This position is based at our Richmond, VA facility.Position Overview:The Assembler will timely and accurately build sub-assemblies and assemb",
Kitter - 2nd Shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Power Systems Division is currently seeking a Kitter – 2nd Shift to join our team, pay starting at $17.55/hour, depending on experience. This position is based at our Badger Drive facility in Waukesha, WI.The Kitter is responsibl",
Shipper/Receiver - 2nd Shift,Eaton Technologies Private Limited,India|US,1-4years,Not Specified,"Eaton’s Electrical sector is hiring a Shipper/Receive Clerk on 2nd shift (6:00pm - 2:30am)to join our team. The position is based at our Fontana, CA facility.The primary function in this role is to receive and put away incoming material. Also, you w",
