jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Tourism & Hospitality Trainer,2COMS Consulting Private Limited,Valsad,5-15years,Not Specified,RequirementsUrgent opening for Tourism & Hospitality Trainer(Valsad-Gujrat)Qualification & ExperienceCertification in the domain/Diploma or degree on Hotel Management/Diploma & Degree on any other streamToT certification: PreferredExperience: 5,Tourism&HospitalityTrainer|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Kolkata|Mumbai,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Bijapur|Bilaspur,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Ahmedabad|Bengaluru/Bangalore,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Vadodara|Bharatpur,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Cuttack|Darjeeling,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Dispur|Durg,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Ahmedabad|Chennai,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Hyderabad/Secunderabad|Mumbai,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Durgapur|Etawah,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Bhopal|Bijapur,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Vadodara|Bharatpur,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Kolkata|Mumbai,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Allahabad/Prayagraj|Lucknow,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
